iter	Logloss
0	0.5035503397
1	0.4084135949
2	0.3609816094
3	0.3344280199
4	0.3203363165
5	0.3101782678
6	0.3034750161
7	0.2971589718
8	0.2934572653
9	0.2904606273
10	0.2885581101
11	0.2868690745
12	0.2856674011
13	0.2847468587
14	0.2836853541
15	0.2827710655
16	0.2820898873
17	0.2809653087
18	0.2802264801
19	0.2794416235
20	0.2787447644
21	0.2783542363
22	0.277795037
23	0.2771681885
24	0.2768065317
25	0.276413513
26	0.2759504469
27	0.2753033608
28	0.2747496775
29	0.2741344698
30	0.2739094766
31	0.2735659173
32	0.2731198973
33	0.2728216097
34	0.2724799875
35	0.2722744386
36	0.2719139993
37	0.2716753914
38	0.2715291163
39	0.2712107756
40	0.271073042
41	0.270709319
42	0.2705135291
43	0.2703473485
44	0.2701395489
45	0.2699758588
46	0.2697278608
47	0.2693248433
48	0.2690708127
49	0.2689183022
50	0.2687221802
51	0.268498257
52	0.2682855687
53	0.2680287525
54	0.2679831119
55	0.2678454336
56	0.2677225138
57	0.2676285391
58	0.2675034609
59	0.2673301962
60	0.2672462572
61	0.2670667202
62	0.267018626
63	0.2668928283
64	0.2667961417
65	0.2667076645
66	0.2665441404
67	0.2663407869
68	0.2662079235
69	0.2661086542
70	0.2659751268
71	0.2658565976
72	0.2656832038
73	0.2655766106
74	0.2652681766
75	0.2651139688
76	0.2649541527
77	0.2648396268
78	0.2646607724
79	0.2645014729
80	0.2643147964
81	0.264240266
82	0.264130426
83	0.2639800185
84	0.2638045031
85	0.2637500074
86	0.2636400935
87	0.2634668842
88	0.2633902876
89	0.2632454514
90	0.2631836318
91	0.2631562548
92	0.263106777
93	0.26299262
94	0.2629079985
95	0.2628182484
96	0.2627314685
97	0.2626543
98	0.2625975167
99	0.262437055
100	0.2623999559
101	0.2623697379
102	0.2623488177
103	0.2622501387
104	0.2622351773
105	0.2621931525
106	0.2621138256
107	0.2620056643
108	0.26196613
109	0.2618437821
110	0.2618101696
111	0.2617599539
112	0.2615727977
113	0.2615060525
114	0.2614819039
115	0.2613998836
116	0.2613671566
117	0.2613251502
118	0.2612780522
119	0.2611768458
120	0.2610868006
121	0.2610373596
122	0.2609712232
123	0.2609236086
124	0.2609158235
125	0.2608849229
126	0.2607803405
127	0.26072293
128	0.2606400057
129	0.2604969406
130	0.2604428138
131	0.2603088989
132	0.2602922772
