iter	Passed	Remaining
0	620	468303
1	1206	455023
2	1826	458573
3	2430	456867
4	3020	453610
5	3629	453702
6	4216	451157
7	4831	451726
8	5425	450341
9	6027	449664
10	6637	449549
11	7246	449258
12	7822	447095
13	8444	447559
14	9054	447297
15	9669	447235
16	10288	447229
17	10902	446988
18	11493	445819
19	12149	447117
20	12757	446497
21	13353	445518
22	13951	444615
23	14587	444906
24	15160	443289
25	15760	442515
26	16358	441681
27	16945	440583
28	17552	440024
29	18176	439869
30	18759	438725
31	19357	437964
32	19959	437291
33	20560	436602
34	21153	435765
35	21745	434907
36	22375	434804
37	22980	434216
38	23573	433386
39	24169	432630
40	24736	431372
41	25342	430827
42	25926	429901
43	26507	428933
44	27089	428010
45	27673	427126
46	28284	426679
47	28923	426628
48	29506	425738
49	30104	425070
50	30683	424150
51	31306	423847
52	31897	423098
53	32487	422336
54	33040	421115
55	33641	420519
56	34218	419631
57	34817	419007
58	35396	418162
59	35988	417471
60	36563	416584
61	37165	416014
62	37741	415156
63	38333	414485
64	38931	413873
65	39509	413055
66	40093	412307
67	40678	411574
68	41264	410849
69	41834	409976
70	42421	409280
71	43012	408622
72	43594	407872
73	44188	407247
74	44792	406711
75	45373	405970
76	45971	405387
77	46556	404680
78	47146	404029
79	47750	403495
80	48354	402955
81	48940	402269
82	49547	401755
83	50152	401220
84	50754	400663
85	51325	399858
86	51937	399382
87	52515	398642
88	53126	398148
89	53718	397517
90	54282	396678
91	54853	395900
92	55431	395174
93	56022	394542
94	56611	393898
95	57207	393299
96	57814	392784
97	58396	392093
98	58989	391472
99	59570	390782
100	60127	389937
101	60685	389103
102	61242	388265
103	61865	387851
104	62417	386986
105	62997	386304
106	63590	385701
107	64197	385182
108	64787	384561
109	65372	383916
110	65953	383244
111	66553	382683
112	67146	382081
113	67737	381471
114	68302	380711
115	68910	380193
116	69477	379451
117	70050	378748
118	70626	378057
119	71213	377430
120	71825	376936
121	72431	376407
122	73017	375772
123	73600	375127
124	74155	374336
125	74736	373682
126	75309	372987
127	75904	372408
128	76501	371830
129	77098	371258
130	77686	370640
131	78262	369965
132	78841	369308
133	79434	368718
134	80022	368102
135	80581	367356
136	81151	366663
137	81753	366114
138	82327	365440
139	82916	364834
140	83502	364214
141	84091	363607
142	84697	363074
143	85316	362596
144	85876	361866
145	86485	361343
146	87058	360671
147	87643	360050
148	88216	359377
149	88772	358642
150	89360	358031
151	89941	357397
152	90526	356781
153	91080	356043
154	91651	355370
155	92245	354789
156	92836	354199
157	93421	353581
158	94009	352980
159	94585	352330
160	95180	351753
161	95742	351054
162	96303	350354
163	96880	349713
164	97472	349129
165	98065	348546
166	98644	347914
167	99207	347226
168	99802	346651
169	100386	346037
170	100958	345383
171	101544	344780
172	102113	344116
173	102707	343538
174	103286	342911
175	103896	342386
176	104444	341656
177	104559	339523
178	105143	338925
179	105713	338284
180	106280	337630
181	106867	337042
182	107446	336430
183	108012	335777
184	108583	335140
185	109137	334452
186	109701	333796
187	110279	333185
188	110838	332514
189	111419	331912
190	111997	331301
191	112598	330756
192	113185	330174
193	113788	329635
194	114396	329109
195	114968	328481
196	115516	327784
197	116114	327232
198	116677	326578
199	117238	325922
200	117453	324311
201	117535	322350
202	118113	321758
203	118688	321157
204	119280	320602
205	119373	318715
206	119968	318178
207	120529	317548
208	121089	316917
209	121687	316387
210	122259	315787
211	122849	315236
212	123446	314701
213	123531	312869
214	124119	312320
215	124699	311749
216	125288	311200
217	125870	310635
218	126019	309006
219	126610	308468
220	127162	307836
221	127754	307302
222	128346	306764
223	128914	306172
224	129492	305603
225	130081	305058
226	130196	303409
227	130810	302928
228	131379	302344
229	131944	301751
230	132498	301133
231	133056	300523
232	133636	299965
233	134198	299366
234	134781	298813
235	135377	298289
236	135945	297703
237	136516	297124
238	137070	296508
239	137651	295951
240	138259	295450
241	138837	294887
242	139405	294300
243	139991	293753
244	140569	293188
245	141179	292689
246	141733	292074
247	142289	291464
248	142869	290903
249	143459	290362
250	143669	289055
251	144222	288444
252	144780	287844
253	145353	287272
254	145465	285797
255	146043	285240
256	146129	283729
257	146692	283150
258	147317	282690
259	147877	282104
260	147951	280596
261	148568	280126
262	148719	278778
263	149278	278201
264	149857	277659
265	150431	277111
266	150997	276545
267	151579	276009
268	152138	275433
269	152240	274032
270	152820	273498
271	153373	272914
272	153953	272379
273	154535	271847
274	155118	271315
275	155687	270761
276	156302	270285
277	156906	269788
278	157458	269202
279	158026	268644
280	158592	268084
281	159140	267490
282	159724	266960
283	160319	266446
284	160872	265862
285	161426	265282
286	161982	264702
287	162572	264180
288	163156	263646
289	163731	263100
290	164320	262573
291	164400	261239
292	164484	259919
293	165062	259383
294	165619	258815
295	166210	258299
296	166302	257013
297	166381	255713
298	166978	255215
299	167546	254671
300	167660	253440
301	168261	252948
302	168803	252370
303	169355	251804
304	169701	250935
305	170265	250390
306	170887	249930
307	171474	249417
308	172073	248922
309	172631	248366
310	173215	247848
311	173784	247308
312	174351	246765
313	174920	246225
314	175519	245727
315	176111	245218
